POC 0...['TId:', '0', '(', 'I-SLICE,', 'nQP', '20', 'QP', '20', ')', '18272', 'bits', '[Y', '54.4240', 'dB', 'U', '56.4953', 'dB', 'V', '56.4368', 'dB]']
POC 1...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '5288', 'bits', '[Y', '50.0682', 'dB', 'U', '55.1534', 'dB', 'V', '55.3302', 'dB]']
POC 2...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '5176', 'bits', '[Y', '49.4173', 'dB', 'U', '54.8022', 'dB', 'V', '54.7158', 'dB]']
POC 3...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '6184', 'bits', '[Y', '49.3332', 'dB', 'U', '53.0106', 'dB', 'V', '52.4092', 'dB]']
POC 4...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '5920', 'bits', '[Y', '48.1170', 'dB', 'U', '52.0317', 'dB', 'V', '51.7283', 'dB]']
POC 5...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '7192', 'bits', '[Y', '47.7938', 'dB', 'U', '51.5517', 'dB', 'V', '52.1380', 'dB]']
POC 6...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '5640', 'bits', '[Y', '47.7853', 'dB', 'U', '51.4243', 'dB', 'V', '51.8951', 'dB]']
POC 7...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '5080', 'bits', '[Y', '48.0703', 'dB', 'U', '51.4607', 'dB', 'V', '52.2844', 'dB]']
POC 8...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '5928', 'bits', '[Y', '47.9441', 'dB', 'U', '51.4728', 'dB', 'V', '52.0262', 'dB]']
POC 9...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '6440', 'bits', '[Y', '47.7576', 'dB', 'U', '51.8093', 'dB', 'V', '51.8544', 'dB]']
POC 10...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '8592', 'bits', '[Y', '47.7385', 'dB', 'U', '52.0742', 'dB', 'V', '51.5018', 'dB]']
POC 11...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '8040', 'bits', '[Y', '47.6791', 'dB', 'U', '52.7988', 'dB', 'V', '51.6042', 'dB]']
POC 12...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '7176', 'bits', '[Y', '47.8971', 'dB', 'U', '52.8107', 'dB', 'V', '51.3677', 'dB]']
POC 13...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '8216', 'bits', '[Y', '47.4893', 'dB', 'U', '51.2991', 'dB', 'V', '49.5770', 'dB]']
POC 14...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '10168', 'bits', '[Y', '47.5169', 'dB', 'U', '50.7482', 'dB', 'V', '49.3492', 'dB]']
POC 15...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '10768', 'bits', '[Y', '46.5456', 'dB', 'U', '50.1561', 'dB', 'V', '49.8488', 'dB]']
POC 16...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '11976', 'bits', '[Y', '46.6839', 'dB', 'U', '50.4592', 'dB', 'V', '48.9297', 'dB]']
POC 17...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '12488', 'bits', '[Y', '46.5525', 'dB', 'U', '50.0867', 'dB', 'V', '49.1288', 'dB]']
POC 18...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '11912', 'bits', '[Y', '47.2341', 'dB', 'U', '50.7445', 'dB', 'V', '49.4159', 'dB]']
POC 19...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '13256', 'bits', '[Y', '46.2602', 'dB', 'U', '49.9798', 'dB', 'V', '49.7423', 'dB]']
POC 20...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '11560', 'bits', '[Y', '46.3889', 'dB', 'U', '49.7749', 'dB', 'V', '50.6457', 'dB]']
POC 21...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '10144', 'bits', '[Y', '46.3280', 'dB', 'U', '50.1851', 'dB', 'V', '51.7830', 'dB]']
POC 22...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '11136', 'bits', '[Y', '46.4084', 'dB', 'U', '50.5800', 'dB', 'V', '50.7177', 'dB]']
POC 23...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '11864', 'bits', '[Y', '46.3429', 'dB', 'U', '50.5357', 'dB', 'V', '51.5611', 'dB]']
POC 24...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '14016', 'bits', '[Y', '45.8655', 'dB', 'U', '50.1981', 'dB', 'V', '50.7989', 'dB]']
POC 25...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '15448', 'bits', '[Y', '45.1131', 'dB', 'U', '49.7188', 'dB', 'V', '49.7077', 'dB]']
POC 26...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '16192', 'bits', '[Y', '45.1460', 'dB', 'U', '48.7128', 'dB', 'V', '48.9753', 'dB]']
POC 27...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '9896', 'bits', '[Y', '47.4522', 'dB', 'U', '49.4321', 'dB', 'V', '49.7126', 'dB]']
POC 28...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '4016', 'bits', '[Y', '47.2012', 'dB', 'U', '49.4951', 'dB', 'V', '49.6467', 'dB]']
POC 29...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '5216', 'bits', '[Y', '47.3656', 'dB', 'U', '49.1683', 'dB', 'V', '49.5178', 'dB]']
POC 30...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '4952', 'bits', '[Y', '47.1981', 'dB', 'U', '48.9471', 'dB', 'V', '49.5318', 'dB]']
POC 31...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '5712', 'bits', '[Y', '47.2292', 'dB', 'U', '48.9376', 'dB', 'V', '49.5028', 'dB]']
POC 32...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '6416', 'bits', '[Y', '46.9862', 'dB', 'U', '48.7814', 'dB', 'V', '49.6125', 'dB]']
POC 33...['TId:', '0', '(', 'P-SLICE,', 'nQP', '20', 'QP', '20', ')', '7376', 'bits', '[Y', '47.0138', 'dB', 'U', '48.9221', 'dB', 'V', '49.2046', 'dB]']
