CMDLINE ./Run_Distributed_MemoryTime
MEM 1.171875 1561300969.9891
MEM 3.093750 1561300970.0898
MEM 3.093750 1561300970.1920
MEM 3.093750 1561300970.2924
MEM 3.093750 1561300970.3931
MEM 3.093750 1561300970.4938
MEM 3.093750 1561300970.5944
MEM 3.093750 1561300970.6953
MEM 3.093750 1561300970.7959
MEM 3.093750 1561300970.8973
MEM 3.093750 1561300970.9979
MEM 3.093750 1561300971.0986
MEM 3.093750 1561300971.2003
MEM 3.093750 1561300971.3014
MEM 3.093750 1561300971.4021
MEM 3.093750 1561300971.5028
MEM 3.093750 1561300971.6038
MEM 3.093750 1561300971.7045
MEM 3.093750 1561300971.8055
MEM 3.093750 1561300971.9076
MEM 3.093750 1561300972.0086
MEM 3.093750 1561300972.1096
MEM 3.093750 1561300972.2103
MEM 3.093750 1561300972.3115
MEM 3.093750 1561300972.4124
MEM 3.093750 1561300972.5135
MEM 3.093750 1561300972.6144
MEM 3.093750 1561300972.7183
MEM 3.093750 1561300972.8276
MEM 3.093750 1561300972.9360
MEM 3.093750 1561300973.0398
MEM 3.093750 1561300973.1446
MEM 3.093750 1561300973.2457
MEM 3.093750 1561300973.3480
MEM 3.093750 1561300973.4566
MEM 3.093750 1561300973.5622
MEM 3.093750 1561300973.6701
MEM 3.093750 1561300973.7711
MEM 3.093750 1561300973.8719
MEM 3.093750 1561300973.9774
MEM 3.093750 1561300974.0837
MEM 3.093750 1561300974.1925
MEM 3.093750 1561300974.2972
MEM 3.093750 1561300974.3984
MEM 3.093750 1561300974.4992
MEM 3.093750 1561300974.6051
MEM 3.093750 1561300974.7141
MEM 3.093750 1561300974.8207
MEM 3.093750 1561300974.9297
MEM 3.093750 1561300975.0307
MEM 3.093750 1561300975.1315
MEM 3.093750 1561300975.2398
MEM 3.093750 1561300975.3476
MEM 3.093750 1561300975.4555
MEM 3.093750 1561300975.5565
MEM 3.093750 1561300975.6573
MEM 3.093750 1561300975.7595
MEM 3.093750 1561300975.8621
MEM 3.093750 1561300975.9661
MEM 3.093750 1561300976.0679
MEM 3.093750 1561300976.1694
MEM 3.093750 1561300976.2700
MEM 3.093750 1561300976.3729
MEM 3.093750 1561300976.4804
MEM 3.093750 1561300976.5829
MEM 3.093750 1561300976.6920
MEM 3.093750 1561300976.7929
MEM 3.093750 1561300976.8937
MEM 3.093750 1561300976.9981
MEM 3.093750 1561300977.1014
MEM 3.093750 1561300977.2058
MEM 3.093750 1561300977.3086
MEM 3.093750 1561300977.4095
MEM 3.093750 1561300977.5105
MEM 3.093750 1561300977.6121
MEM 3.093750 1561300977.7200
MEM 3.093750 1561300977.8247
MEM 3.093750 1561300977.9326
